laptop,date_updated,time_diff,sla,sla_percentage
duke-merge,2015-03-31 23:11:20.513258+00:00,2309 days 20:01:23.493961,30,76.99447665662076
duke30,2018-04-10 14:57:58.116245+00:00,1204 days 04:14:45.648189,30,40.139230574146985
duke8,2018-04-10 16:13:22.992412+00:00,1204 days 02:59:20.036630,30,40.13748458203318
duke19,2018-04-17 18:06:57.680815+00:00,1197 days 01:05:46.836655,30,39.901522699326776
duke18,2018-04-28 20:05:31.394105+00:00,1185 days 23:07:12.746184,30,39.53211139899074
duke7,2019-03-18 16:19:52.037297+00:00,862 days 02:52:51.940353,30,28.73733485353125
duke31,2019-03-18 18:27:38.047836+00:00,862 days 00:45:06.542117,30,28.73437752396489
duke36,2020-03-20 15:31:18.457549+00:00,494 days 03:41:25.228156,30,16.471792140492283
duke50,2020-05-12 19:39:26.698266+00:00,440 days 23:33:17.602877,30,14.69938179123341
duke51,2020-05-13 16:20:12.356442+00:00,440 days 02:52:32.394718,30,14.670660646110338
